antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
ADE_itching,Sentiment_Negative,0.019967319,0.498226456,0.014925671,0.74750499,1.50033179,1,0.004977424,1.987261231,0.340275145,0.029657494,0.496794893,0.388731297
ADE_vomiting,Sentiment_Negative,0.026922004,0.498226456,0.020106811,0.746854182,1.499025541,1,0.006693557,1.982152217,0.342110252,0.039812184,0.495497878,0.393605477
Drug_Metronidazole,Sentiment_Negative,0.011637639,0.498226456,0.008688374,0.746575342,1.498465876,1,0.002890195,1.979971283,0.336567655,0.017335984,0.49494217,0.382006974
"ADE_acne, Severity_Extreme",Sentiment_Negative,0.009784385,0.498226456,0.007273524,0.743380855,1.492054159,1,0.002398685,1.955323891,0.333041649,0.014525629,0.488575778,0.378989844
ADE_decreased libido,Sentiment_Negative,0.014925671,0.498226456,0.01092025,0.73164219,1.468493255,1,0.003483886,1.869792959,0.323863783,0.021743443,0.465181428,0.376780218
"ADE_vomiting, ADE_nausea",Sentiment_Negative,0.00958511,0.498226456,0.00699454,0.72972973,1.46465472,1,0.002218984,1.856562114,0.320315487,0.013966258,0.461370028,0.371884303
"ADE_depression, ADE_mood swings",Sentiment_Negative,0.014427484,0.498226456,0.010441991,0.723756906,1.452666549,1,0.003253837,1.81642023,0.316172346,0.020792001,0.449466603,0.372357615
Severity_Extreme,Sentiment_Negative,0.088179028,0.498226456,0.063688175,0.722259887,1.449661853,1,0.01975505,1.806629726,0.340180769,0.12184057,0.446483147,0.42504483
"ADE_nausea, Severity_Severe",Sentiment_Negative,0.012474592,0.498226456,0.008887649,0.712460064,1.429992438,1,0.002672477,1.745056882,0.304494042,0.017711063,0.426952777,0.365149318
"ADE_cramps, Severity_Extreme",Sentiment_Negative,0.010342354,0.498226456,0.007293452,0.705202312,1.415425263,1,0.002140618,1.702094572,0.296565738,0.014549791,0.412488579,0.359920571
"ADE_anxiety, ADE_mood swings",Sentiment_Negative,0.010322426,0.498226456,0.007273524,0.704633205,1.414282996,1,0.002130618,1.698815006,0.295983199,0.014510038,0.411354387,0.359616018
"ADE_anxiety, Severity_Extreme",Sentiment_Negative,0.015623132,0.498226456,0.010880395,0.696428571,1.397815318,1,0.003096538,1.652901087,0.289114788,0.02163233,0.39500312,0.359133412
"ADE_diarrhea, ADE_nausea",Sentiment_Negative,0.008967359,0.498226456,0.006217369,0.693333333,1.391602805,1,0.001749593,1.636218079,0.283950436,0.012410501,0.388834525,0.352906168
ADE_dizzy,Sentiment_Negative,0.011498147,0.498226456,0.007771711,0.675909879,1.356631851,1,0.00204303,1.548253129,0.265938142,0.015482949,0.354110784,0.345754315
ADE_bloated,Sentiment_Negative,0.010023514,0.498226456,0.006715555,0.669980119,1.344730115,1,0.001721575,1.520434294,0.258951967,0.013390019,0.342293183,0.34172952
ADE_diarrhea,Sentiment_Negative,0.034514368,0.498226456,0.022737236,0.658775982,1.322242073,1,0.005541265,1.470510624,0.252420984,0.044582503,0.319964111,0.352206165
ADE_bleeding,Sentiment_Negative,0.018592324,0.498226456,0.012175681,0.654876742,1.314415833,1,0.002912493,1.453896636,0.243737401,0.02412731,0.312193195,0.339657393
ADE_palpitations,Sentiment_Negative,0.010701048,0.498226456,0.006974612,0.651769088,1.3081784,1,0.001643067,1.440921889,0.238126469,0.013894954,0.305999855,0.332883984
ADE_nauseous,Sentiment_Negative,0.029751704,0.498226456,0.01932964,0.649698593,1.304022671,1,0.004506554,1.432405166,0.24029124,0.038001959,0.301873503,0.344247745
"Drug_Etonogestrel, ADE_mood swings",Sentiment_Negative,0.012215535,0.498226456,0.007851421,0.64274062,1.290057187,1,0.001765318,1.404507683,0.227621078,0.015621902,0.288006743,0.32924968
"ADE_nausea, ADE_dizziness",Sentiment_Negative,0.011019888,0.498226456,0.007034395,0.638336347,1.281217286,1,0.001543995,1.38740385,0.221937998,0.014006825,0.279229332,0.326227609
ADE_suicidal ideation,Sentiment_Negative,0.01241481,0.498226456,0.007891276,0.635634029,1.27579341,1,0.001705889,1.377114177,0.218891532,0.015696223,0.273843798,0.325736381
"ADE_headache, ADE_nausea",Sentiment_Negative,0.009923877,0.498226456,0.006297079,0.634538153,1.273593855,1,0.001352741,1.372984753,0.216973551,0.012547649,0.271659792,0.323588571
Frequency_Daily_or_Always,Sentiment_Negative,0.036985373,0.498226456,0.023374915,0.63200431,1.268508131,1,0.004947824,1.363531037,0.21980183,0.045668678,0.26661002,0.339460279
ADE_nightmares,Sentiment_Negative,0.009704675,0.498226456,0.006077877,0.626283368,1.257025516,1,0.001242751,1.342657781,0.206474973,0.012110864,0.255208576,0.319241196
"Severity_Bad, ADE_anxiety",Sentiment_Negative,0.009644893,0.498226456,0.006018094,0.623966942,1.252376174,1,0.001212753,1.334386788,0.203480412,0.011991741,0.250592101,0.318022988
Severity_Severe,Sentiment_Negative,0.087282292,0.498226456,0.054421904,0.623515982,1.251471042,1,0.010935557,1.332788432,0.220156088,0.102472703,0.249693368,0.366373622
Drug_Medroxyprogesterone,Sentiment_Negative,0.011956478,0.498226456,0.007373162,0.616666667,1.237723649,1,0.001416128,1.308974463,0.19438942,0.014663919,0.236043156,0.315732741
Drug_Depo-Provera,Sentiment_Negative,0.010581483,0.498226456,0.006476426,0.612052731,1.228462928,1,0.001204451,1.293406563,0.187963555,0.012892732,0.2268479,0.312525845
"ADE_anxiety, ADE_panic attacks",Sentiment_Negative,0.017974573,0.498226456,0.010860468,0.60421286,1.212727372,1,0.00190506,1.267786378,0.178623034,0.021491384,0.21122358,0.313005558
Severity_Bad,Sentiment_Negative,0.066776932,0.498226456,0.039416524,0.590271561,1.184745519,1,0.00614649,1.224649051,0.167094968,0.074995261,0.183439534,0.334692616
"Severity_Severe, ADE_depression",Sentiment_Negative,0.014826033,0.498226456,0.008748157,0.590053763,1.184308374,1,0.001361435,1.223998416,0.157967353,0.017346979,0.183005479,0.303806179
"ADE_weight gain, ADE_mood swings",Sentiment_Negative,0.011597784,0.498226456,0.006775338,0.58419244,1.172543997,1,0.000997015,1.20674464,0.148880218,0.013468547,0.171324266,0.298895676
"ADE_acne, ADE_mood swings",Sentiment_Negative,0.014387629,0.498226456,0.008369535,0.581717452,1.1675764,1,0.001201237,1.199604301,0.145620126,0.016598166,0.166391785,0.299258054
Drug_Nexplanon,Sentiment_Negative,0.028097724,0.498226456,0.016340521,0.581560284,1.167260945,1,0.002341491,1.199153725,0.147436154,0.032041263,0.166078561,0.30717883
ADE_migraines,Sentiment_Negative,0.020684708,0.498226456,0.011996333,0.579961464,1.164051924,1,0.001690665,1.19458931,0.143908498,0.023665382,0.162892224,0.302019769
ADE_mood swings,Sentiment_Negative,0.084970707,0.498226456,0.049220836,0.579268293,1.162660646,1,0.006886182,1.192621178,0.152895436,0.092177937,0.161510781,0.339030195
"Severity_Severe, ADE_anxiety",Sentiment_Negative,0.020345941,0.498226456,0.011757204,0.577864838,1.159843745,1,0.001620318,1.188656122,0.140677104,0.023198207,0.158713793,0.300731475
ADE_fatigue,Sentiment_Negative,0.028237217,0.498226456,0.016260811,0.575864502,1.155828832,1,0.002192282,1.183050104,0.138737553,0.031871265,0.154727262,0.304250946
"ADE_headaches, ADE_nausea",Sentiment_Negative,0.013789805,0.498226456,0.007911203,0.573699422,1.151483257,1,0.001040757,1.17704167,0.133394376,0.015693561,0.150412406,0.294789076
ADE_dizziness,Sentiment_Negative,0.031465466,0.498226456,0.017874935,0.568081064,1.140206542,1,0.002198008,1.161730831,0.126960796,0.034924467,0.139215407,0.301979097
Drug_Skyla,Sentiment_Negative,0.011259017,0.498226456,0.006277151,0.557522124,1.119013488,1,0.000667611,1.13400821,0.107566819,0.012474259,0.118172169,0.285060558
ADE_headaches,Sentiment_Negative,0.058586744,0.498226456,0.032621259,0.556802721,1.11756956,1,0.003431793,1.132167475,0.111748067,0.062231515,0.116738449,0.311138742
ADE_headache,Sentiment_Negative,0.041249851,0.498226456,0.022856801,0.55410628,1.112157482,1,0.002305034,1.12532095,0.105185655,0.044243009,0.111364629,0.299991305
ADE_cramps,Sentiment_Negative,0.063947232,0.498226456,0.035371249,0.553131817,1.110201617,1,0.003511046,1.122867018,0.106043922,0.067143289,0.109422591,0.312063069
"ADE_cramps, Drug_Levonorgestrel",Sentiment_Negative,0.012355028,0.498226456,0.006795265,0.55,1.103915687,1,0.000639664,1.115052321,0.095311291,0.01348839,0.103181096,0.281819454
Drug_Etonogestrel,Sentiment_Negative,0.041748037,0.498226456,0.022876729,0.54797136,1.099843965,1,0.002076752,1.110048126,0.094735123,0.044240626,0.099138158,0.296943844
"ADE_nausea, ADE_anxiety",Sentiment_Negative,0.013112271,0.498226456,0.007173887,0.547112462,1.098120053,1,0.000641007,1.107942927,0.09053994,0.014229249,0.097426432,0.280755655
"ADE_anxiety, ADE_depression",Sentiment_Negative,0.040552389,0.498226456,0.022139413,0.545945946,1.095778716,1,0.001935139,1.105096496,0.091101365,0.042852735,0.095101647,0.295191196
ADE_back pain,Sentiment_Negative,0.017934718,0.498226456,0.009764457,0.544444444,1.092765023,1,0.000828907,1.101454122,0.086440469,0.019282229,0.092109258,0.282021438
Drug_Ethinyl estradiol / norethindrone,Sentiment_Negative,0.040652027,0.498226456,0.022099558,0.543627451,1.09112522,1,0.001845642,1.09948231,0.08705382,0.042764046,0.090481046,0.293991951
ADE_migraine,Sentiment_Negative,0.013072416,0.498226456,0.007034395,0.538109756,1.080050547,1,0.000521371,1.086348003,0.075099135,0.013949812,0.079484662,0.276114313
ADE_bloating,Sentiment_Negative,0.021701008,0.498226456,0.011657566,0.537190083,1.078204653,1,0.00084555,1.084189265,0.07414123,0.02293578,0.077651816,0.280294105
Drug_Ethinyl estradiol / levonorgestrel,Sentiment_Negative,0.02656331,0.498226456,0.014248137,0.536384096,1.076586941,1,0.001013593,1.082304425,0.073079894,0.027907884,0.07604554,0.282490904
ADE_panic attacks,Sentiment_Negative,0.04706867,0.498226456,0.025108605,0.533446232,1.070690297,1,0.001657748,1.075489212,0.069284221,0.048268465,0.07019058,0.2919211
Drug_Ethinyl estradiol / norgestimate,Sentiment_Negative,0.030010761,0.498226456,0.015961899,0.53187251,1.067531649,1,0.001009744,1.071873699,0.065216829,0.031158828,0.067054261,0.281954973
ADE_depression,Sentiment_Negative,0.112928939,0.498226456,0.059882029,0.530262926,1.064301021,1,0.003617845,1.068200855,0.068107507,0.108624928,0.063846471,0.325226655
ADE_nausea,Sentiment_Negative,0.116774939,0.498226456,0.061655574,0.527986348,1.059731658,1,0.00347521,1.063048796,0.063817132,0.111423221,0.059309409,0.325868224
Drug_Venlafaxine,Sentiment_Negative,0.013331473,0.498226456,0.00699454,0.524663677,1.053062661,1,0.000352447,1.055617928,0.051069727,0.013862559,0.052687555,0.269351277
ADE_loss of appetite,Sentiment_Negative,0.020306086,0.498226456,0.010621338,0.523061825,1.049847553,1,0.000504309,1.052072514,0.048464886,0.020911802,0.049495175,0.27219006
ADE_insomnia,Sentiment_Negative,0.040711809,0.498226456,0.021123112,0.518844836,1.041383552,1,0.000839412,1.042851832,0.041425518,0.040792765,0.041091007,0.280620722
Drug_Levonorgestrel,Sentiment_Negative,0.044298753,0.498226456,0.022637599,0.511021143,1.025680465,1,0.000566789,1.026166135,0.02619803,0.043543256,0.025498927,0.278228754
