consumer_term,medical_term
stroke-like symptoms,transient ischemic attack
felt like I was having a heart attack,myocardial infarction
panic attack out of nowhere,panic attacks
shaking uncontrollably,tremor
can't stop scratching,pruritus
stomach on fire,abdominal pain
gut wrenching pain,abdominal cramping
head feels like it's going to explode,headache
world is spinning,vertigo
felt drunk without drinking,ataxia
zombie-like,emotional blunting
felt like a zombie,somnolence
can't focus on anything,difficulty concentrating
words won't come out right,word-finding difficulty
skin crawling feeling,paresthesia
legs won't stay still at night,restless legs syndrome
waking up gasping,apnea
snoring got worse,apnea
chest feels heavy,chest tightness
heart flutters,palpitations
feel jittery,nervousness
wired but tired,insomnia
can't wind down at night,insomnia
nightmares every night,nightmares
weird vivid dreams,vivid dreams
sleepwalking again,sleepwalking
appetite disappeared,loss of appetite
can't stop eating,increased appetite
puffy face,facial swelling
swollen glands,lymphadenopathy
joints are swollen,joint swelling
can't grip things anymore,reduced grip strength
legs feel heavy,muscle weakness
muscles are so sore,myalgia
bones ache,bone pain
jaw hurts,jaw pain
neck is stiff,neck pain
can barely walk,gait disturbance
dragging my feet,gait disturbance
felt faint,presyncope
skin is peeling and blistering,toxic epidermal necrolysis
rash with blisters everywhere,Stevens-Johnson syndrome
throat closing up,throat swelling
hard time breathing after taking it,difficulty breathing due to swelling
went into shock,anaphylactic shock
blood pressure through the roof,hypertension
blood pressure tanked,hypotension
kidneys shutting down,acute kidney injury
kidney function dropped,elevated creatinine
peeing way more than usual,polyuria
barely peeing at all,oliguria
gained water weight,fluid retention
electrolytes off,electrolyte imbalance
potassium too high,hyperkalemia
potassium too low,hypokalemia
sodium levels low,hyponatremia
calcium too high,hypercalcemia
thyroid acting up,thyroid dysfunction
gout flare-up,gout flare
libido came back with a vengeance,increased libido
breasts leaking,galactorrhea
man boobs,gynecomastia
testicles hurt,testicular pain
vaginal dryness,vaginal dryness
heavy periods,heavy menstrual bleeding
bleeding after menopause,postmenopausal bleeding
pelvic pain,pelvic pain
ear infection came back,ear infection
hearing muffled,hearing impairment
eyes are red and watery,eye redness
eyelid keeps twitching,eyelid twitching
seeing floating spots,floaters
can't see well at night,night vision problems
gums are swollen,gum swelling
bad breath started,bad breath
mouth full of white patches,oral thrush
nails turned weird color,nail discoloration
nails are brittle,nail changes
hair growing in weird places,hirsutism
skin got darker in patches,hyperpigmentation
skin lost its color in spots,hypopigmentation
small purple spots on skin,petechiae
large bruise-like patches,purpura
felt spacey,cognitive impairment
everything feels unreal,disorientation
felt disconnected from myself,disorientation
blacked out,syncope
collapsed suddenly,syncope
skin feels clammy,clammy skin
cold sweats at night,cold sweats
shaking and sweating when I skip a dose,withdrawal tremor
felt sick when I stopped taking it,discontinuation syndrome
craving it constantly,drug craving
needed to take more to feel normal,drug tolerance
insomnia came back worse after stopping,rebound insomnia
anxiety came back worse after stopping,rebound anxiety
throat feels like it's closing,throat swelling
swelled up like a balloon,facial swelling
skin feels like it's burning,burning sensation
feel like bugs crawling on my skin,paresthesia
stomach in knots,abdominal cramping
can't keep anything down,vomiting
gagging constantly,dry retching
food just sits in my stomach,early satiety
belly is huge and tight,abdominal distension
poop is greasy and pale,clay-colored stools
keep getting nosebleeds,epistaxis
wheezy chest,wheezing
can't catch my breath climbing stairs,exercise intolerance
lips turning blue,cyanosis
legs won't stop twitching at night,nocturnal leg jerks
words come out jumbled,aphasia
face drooping on one side,facial droop
can't remember what happened yesterday,short-term memory loss
feel outside my body,depersonalization
nothing feels real anymore,derealization
can't stop intrusive thoughts,intrusive thoughts
talking a mile a minute,pressured speech
thoughts racing nonstop,racing thoughts
skin breaking down where I lie,pressure sores
cut won't heal,delayed wound healing
nails lifting off the bed,onycholysis
red streaks up my arm,cutaneous vasculitis
belly swollen with fluid,ascites
"confused and can't remember things, doctor said it's my liver",hepatic encephalopathy
spider veins showed up on my chest,spider angiomas
keep bruising and gums won't stop bleeding,spontaneous bruising
doctor said my bone marrow isn't making enough blood cells,bone marrow suppression
always thirsty and peeing nonstop,polydipsia
fat redistributed weirdly on my body,abnormal body fat redistribution
seeing halos around streetlights,halos around lights
eyelid won't stay open,eyelid drooping
sudden hearing loss in one ear,sudden hearing loss
ear is oozing fluid,ear discharge
nipples leaking fluid,nipple discharge
scrotum is swollen and painful,scrotal swelling
feels like impending doom,feeling of impending doom
worn out even after resting,post-exertional malaise
drooling all over my pillow,excessive drooling
mouth burns like I ate a pepper,burning mouth syndrome
talk in my sleep now,sleep talking
waking up multiple times a night,frequent night waking
